Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Contido,Quantidade Produção - Minério ROM (t),Quantidade Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010.0,ES,Não-Metálicos,Dolomito e Magnesita,-,"767271,790000",",000000000000000",,745378,"2587335,6000000001",",000000",",000000","21893,790000","198518,000000"
2010.0,ES,Não-Metálicos,Argilas,-,"248657,420000",",000000000000000",,"172888,37","1817430,5800000001","14239,970000","297484,550000","52885,630000","326049,100000"
2010.0,ES,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",-,"554,000000",",000000000000000",,"312,63999999999999","570522,60999999999",",000000",",000000",",000000",",000000"
2010.0,ES,Não-Metálicos,Calcário,-,"2217975,529400",",000000000000000",,"1855350,3384000002","30276441,5024",",000000",",000000","106438,810000","971072,390000"
2010.0,ES,Gemas e Diamantes,Gemas,kg,"5,000000",",583000000000000",,5,53525,",000000",",000000",",000000",",000000"
2010.0,ES,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"5952638,400000",",000000000000000",,"156010,81","805282,56000000006",",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"7865412,664700",",000000000000000",,"660378,96999999997","6152533,9199999999","104800,000000","157200,000000","92976,000000","331024,050000"
2010.0,GO,Metálicos,Titânio,t,"59000,000000","7000,000000000000000",TiO2,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Metálicos,Ferro,t,",000000",",000000000000000",Fe,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Metálicos,Ouro,kg,"22645671,980000","11759,025630000000000",Au,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Areia,-,"2457497,120000",",000000000000000",,"1932736,7600000002","37003254,569999993","1076,000000","17260,000000","2912,100000","83852,600000"
2010.0,GO,Metálicos,Prata,kg,"983546,000000","155,962790000000000",Ag,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Metálicos,Nióbio,t,"4857571,000000","26642,633130000000000",Nb2O5,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Caulim,-,"14746,440000",",000000000000000",,6282,"136538,26999999999",",000000",",000000","8464,440000","7702,650000"
2010.0,GO,Não-Metálicos,Bário,t,"4803283,000000","166987,100000000000000",BaSO4,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Saibro,-,"876,000000",",000000000000000",,876,5444,",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Vermiculita e Perlita,t,"172854,650000","39925,640000000000000",,0,0,"41045,640000","1567118,000000","5998,690000","242415,400000"
2010.0,GO,Gemas e Diamantes,Gemas,kg,"2180,000000","218,000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Metálicos,Cobre,t,"25275341,110000","91456,120000000000000",Cu,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Metálicos,Manganês,t,"37378,450000","16093,820000000000000",Mn,"12435,370000000001","1359282,25",",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Areias Industriais,-,"7018,000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Rochas Ornamentais,-,"4958,630000",",000000000000000",,"6327,5799999999999","674669,13",",000000",",000000","988,070000","243931,900000"
2010.0,GO,Não-Metálicos,Amianto,t,"4870538,690000","351034,900000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Gemas e Diamantes,Diamante,ct,"1990,000000","82,800000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Metálicos,Níquel,t,"5010277,130000","57487,200000000000000",Ni,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Fosfato,t,"10601898,000000","1295309,020000000000000",P2O5,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Calcário,-,"4270580,785300",",000000000000000",,"4862,1700000000001","51212,800000000003","128834,000000","688143,720000","53699,800000",",120000"
2010.0,GO,Não-Metálicos,Argilas,-,"1009348,170000",",000000000000000",,"630875,63","1709014,6300000001","6150,000000","76249,960000","406637,280000","1396851,220000"
2010.0,GO,Não-Metálicos,Rochas Ornamentais - Outras,-,"1832,000000",",000000000000000",,1700,17000,",000000",",000000",",000000",",000000"
2010.0,GO,Não-Metálicos,Dolomito e Magnesita,-,"379238,000000",",000000000000000",,12,"0,12",",000000",",000000","63128,000000",",120000"
2010.0,GO,Metálicos,Cobalto,t,"3792814,130000","3062,340000000000000",Co,0,0,",000000",",000000",",000000",",000000"
2010.0,GO,Metálicos,Alumínio (Bauxita),t,"4160,000000","2410,720000000000000",Al2O3,0,0,",000000",",000000","4091,000000","106326,000000"
