Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Produção,Unidade de Medida - Contido,Indicação Contido,Unidade de Medida - Venda,Unidade de Medida - Consumo/Utilização na Usina,Unidade de Medida - Transferência para Transformação / Utilização / Consumo,Quantidade Produção,Quantidade Contido,Quantidade Venda,Valor Venda (R$),Quantidade Consumo/Utilização na Usina,Valor Consumo / Utilização na Usina (R$),Quantidade Transferência para Transformação / Utilização / Consumo,Valor Transferência para Transformação / Utilização / Consumo (R$)
2010.0,MT,Metálicos,Ouro,kg,kg,Au,kg,kg,kg,"4132,6155499999995","3970,796990000000000","4137,4900999999991","284256534,69","9,5059700000000014",701498,0,0
2010.0,MT,Não-Metálicos,Areia,t,-,,t,t,t,"3211,0999999999999",",000000000000000","3068,7399999999998","80446,729999999996",0,0,0,0
2010.0,MT,Não-Metálicos,Argilas,t,-,,t,t,t,"204648,60999999999",",000000000000000","42063,989999999998","5041141,9900000002",0,0,"92959,470000000001","1069842,8799999999"
2010.0,MT,Não-Metálicos,Calcário,t,-,,t,t,t,"4745624,4300000006",",000000000000000","3657161,7400000002","92994311,809999987",0,0,"1121400,0600000001","11187069,880000001"
2010.0,MT,Não-Metálicos,Dolomito e Magnesita,t,-,,t,t,t,537035,",000000000000000","531639,18999999994","10072404,85",0,0,0,0
2010.0,MT,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"2492806,21",",000000000000000","2489832,2999999998","58814619,349999987",0,0,"9148,0799999999999","118925,03999999999"
2010.0,PA,Gemas e Diamantes,Gemas,kg,kg,,kg,kg,kg,180952,"180952,000000000000000",180952,"181132,78",0,0,0,0
2010.0,PA,Metálicos,Alumínio (Bauxita),t,t,Al2O3,t,t,t,"27106990,02","13127711,210000000000000","27588772,649999999","1595263659,96",0,0,0,0
2010.0,PA,Metálicos,Cobre,t,t,Cu,t,t,t,394294,"117221,000000000000000","422433,29999999999","1433448500,51","11177,65","24613831,899999999",0,0
2010.0,PA,Metálicos,Ferro,t,t,Fe,t,t,t,"101769670,98","66677560,790000000000000","92569910,629999995","13923996643,460001",0,0,6037355,"173155636,43000001"
2010.0,PA,Metálicos,Manganês,t,t,Mn,t,t,t,"2197525,7800000003","978068,220000000000000","2171084,4199999999","656767487,39999998",0,0,"181055,73000000001","18465358,579999998"
2010.0,PA,Metálicos,Ouro,kg,kg,Au,kg,kg,kg,"1342,20442","1342,078810000000000","1392,47838","96420638,179999992",0,0,0,0
2010.0,PA,Metálicos,Tungstênio,t,t,WO3,t,t,t,"172,75","112,280000000000000","159,5","3291688,8799999999",0,0,0,0
2010.0,PA,Não-Metálicos,Areia,t,-,,t,t,t,0,",000000000000000",0,"26617,360000000001",0,0,0,0
2010.0,PA,Não-Metálicos,Areias Industriais,t,-,,t,t,t,"19864,259999999998",",000000000000000",0,0,0,0,"19864,259999999998","2468588,2999999998"
2010.0,PA,Não-Metálicos,Argilas,t,-,,t,t,t,11180,",000000000000000",11180,1346119,0,0,0,0
2010.0,PA,Não-Metálicos,Calcário,t,-,,t,t,t,"80803,229999999996",",000000000000000","80803,229999999996","3510776,6800000002",0,0,0,0
2010.0,PA,Não-Metálicos,Caulim,t,-,,t,t,t,1620661,",000000000000000","1595238,28","428003380,44",0,0,0,0
2010.0,PA,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"129211,89999999999",",000000000000000","101293,89999999999","3235788,9500000002",0,0,27785,"513715,85999999999"
2010.0,PA,Não-Metálicos,Rochas Ornamentais,t,-,,t,t,t,0,",000000000000000",0,0,0,0,0,0
2010.0,PB,Metálicos,Titânio,t,t,TiO2,t,t,t,"82953,510000000009","45702,830000000000000","83886,570000000007","20656362,850000001",0,0,0,0
2010.0,PB,Metálicos,Zircônio,t,t,ZrSiO4,t,t,t,"21892,5","14183,130000000000000","21830,5","43026946,259999998",0,0,0,0
2010.0,PB,Não-Metálicos,Areias Industriais,t,-,,t,t,t,1285,",000000000000000",920,27600,0,0,0,0
2010.0,PB,Não-Metálicos,Argilas,t,-,,t,t,t,"434101,74999999994",",000000000000000","353375,25999999995","94165245,550000012",0,0,81275,367969
2010.0,PB,Não-Metálicos,Calcário,t,-,,t,t,t,"2914468,46",",000000000000000",17755,3551660,"87,460000000000008","2644,8000000000002",2896626,20222181
2010.0,PB,Não-Metálicos,Cianita e outros minerais refratários,t,-,,t,t,t,"2834,9400000000001",",000000000000000",3119,"1269465,1100000001",0,0,0,0
2010.0,PB,Não-Metálicos,Dolomito e Magnesita,t,-,,t,t,t,"4285,54",",000000000000000",0,0,"4285,54","129595,2",0,0
2010.0,PB,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",t,-,,t,t,t,1785,",000000000000000",1785,"189012,28",0,0,0,0
2010.0,PB,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"696879,58999999997",",000000000000000","660881,97999999998","16330585,690000001",0,0,0,0
2010.0,PB,Não-Metálicos,Rochas Ornamentais,t,-,,t,t,t,10796,",000000000000000",8058,"7669024,7699999996",2716,1362504,0,0
2010.0,PE,Metálicos,Titânio,t,t,TiO2,t,t,t,0,",000000000000000",0,0,0,0,0,0
2010.0,PE,Não-Metálicos,Areias Industriais,t,-,,t,t,t,"165180,38",",000000000000000",18009,"103362,64999999999",0,0,"145112,38","1720588,7"
2010.0,PE,Não-Metálicos,Argilas,t,-,,t,t,t,"507824,05000000005",",000000000000000",1962,"174344,88","99445,229999999996",1259217,"406416,82000000001","1968705,4199999999"
2010.0,PE,Não-Metálicos,Calcário,t,-,,t,t,t,"768729,93999999994",",000000000000000","87144,179999999993","14235529,82","675663,88","13380958,210000001",0,0
2010.0,PE,Não-Metálicos,Dolomito e Magnesita,t,-,,t,t,t,"418,80000000000001",",000000000000000","418,80000000000001","44341,970000000001",0,0,0,0
2010.0,PE,Não-Metálicos,Gipsita,t,-,,t,t,t,"886049,34000000008",",000000000000000","598971,34000000008","17514218,849999998",0,0,"266289,07999999996","16496448,960000001"
2010.0,PE,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"5248316,1799999997",",000000000000000","5240417,8100000005","109811767,33999999",0,0,0,0
2010.0,PE,Não-Metálicos,Rochas Ornamentais,t,-,,t,t,t,0,",000000000000000","358,11000000000001","213271,87",0,0,"54,950000000000003","15480,379999999999"
2010.0,PE,Não-Metálicos,Vermiculita e Perlita,t,t,,t,t,t,4704,"3669,330000000000000",1735,"1480420,5800000001",0,0,0,0
2010.0,PI,Gemas e Diamantes,Diamante,ct,ct,,ct,ct,ct,"710,79999999999995","710,800000000000000","281,13999999999999",63174,0,0,0,0
2010.0,PI,Gemas e Diamantes,Gemas,kg,kg,,kg,kg,kg,"7,8000000000000007","7,800000000000000","7,8000000000000007",155200,0,0,0,0
2010.0,PI,Não-Metálicos,Argilas,t,-,,t,t,t,"82022,010000000009",",000000000000000",0,0,"64772,010000000002","360441,56",17250,85750
2010.0,PI,Não-Metálicos,Calcário,t,-,,t,t,t,"1094242,0800000001",",000000000000000","253840,47","12030271,189999999",5087,"104408,60000000001",836290,"1823112,2"
2010.0,PI,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"583259,13",",000000000000000","494191,16999999998","16216126,32",8523,113640,"75995,009999999995","1665207,95"
2010.0,PI,Não-Metálicos,Rochas Ornamentais,t,-,,t,t,t,"4401,9399999999996",",000000000000000","3107,8299999999999","2255747,3799999999",0,0,0,0
2010.0,PR,Energéticos,Carvão Mineral,t,-,,t,t,t,"97545,070000000007",",000000000000000","97532,970000000001","23611597,920000002",0,0,0,0
2010.0,PR,Gemas e Diamantes,Diamante,ct,ct,,ct,ct,ct,"314,88","314,880000000000000",0,0,0,0,0,0
2010.0,PR,Metálicos,Ouro,kg,kg,Au,kg,kg,kg,"439,72116999999997","439,677200000000000","484,5",33305887,0,0,0,0
2010.0,PR,Metálicos,Prata,kg,kg,Ag,kg,kg,kg,"65,329120000000003","65,329120000000000",0,0,0,0,0,0
2010.0,PR,Não-Metálicos,Areia,t,-,,t,t,t,"1904862,97",",000000000000000","1904858,97","21823857,899999999",0,0,0,0
2010.0,PR,Não-Metálicos,Areias Industriais,t,-,,t,t,t,"7199,4300000000003",",000000000000000","5793,4300000000003","320206,60999999999",0,0,1406,28130
2010.0,PR,Não-Metálicos,Argilas,t,-,,t,t,t,"104540,61",",000000000000000","105556,78999999999","1106828,3900000001",0,0,3645,"485418,45000000001"
2010.0,PR,Não-Metálicos,Calcário,t,-,,t,t,t,"11927744,040000001",",000000000000000","3685747,4000000004","75615310,38000001",0,0,"8319890,4699999997","60477336,120000005"
2010.0,PR,Não-Metálicos,Caulim,t,-,,t,t,t,2200,",000000000000000",2110,63300,0,0,90,1800
2010.0,PR,Não-Metálicos,Dolomito e Magnesita,t,-,,t,t,t,"435993,81000000006",",000000000000000","415031,46999999997","4093064,3600000003",0,0,21495,"31800,119999999999"
2010.0,PR,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",t,-,,t,t,t,88820,",000000000000000",0,0,0,0,"108238,05","2626006,0099999998"
2010.0,PR,Não-Metálicos,Fluorita e Criolita,t,t,,t,t,t,"11196,43","9803,300000000000000","11583,68","8837470,5299999993",0,0,0,0
2010.0,PR,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"9861787,3000000026",",000000000000000","9294230,2200000007","165736219,48000002","303061,71999999997","3477633,2200000002","197651,20000000001","2547866,5999999996"
2010.0,PR,Não-Metálicos,Rochas Ornamentais,t,-,,t,t,t,"3727,8299999999999",",000000000000000","2410,6500000000001","422134,83999999997",0,0,"1317,1799999999998",0
2010.0,PR,Não-Metálicos,Talco e outras Cargas Minerais,t,-,,t,t,t,"35559,200000000004",",000000000000000","33008,18","4564709,0199999996",0,0,3584,176974
2010.0,RJ,Metálicos,Monazita e Terras-Raras,t,t,ETR,t,t,t,248,"248,000000000000000",0,0,0,0,0,0
2010.0,RJ,Metálicos,Titânio,t,t,TiO2,t,t,t,6129,"3556,140000000000000",9811,"3350988,6699999999",0,0,0,0
2010.0,RJ,Metálicos,Zircônio,t,t,ZrSiO4,t,t,t,1343,"859,520000000000000",1519,"2961618,3399999999",0,0,0,0
2010.0,RJ,Não-Metálicos,Areia,t,-,,t,t,t,"170808,79000000001",",000000000000000","170808,79000000001","1532714,3600000001",0,0,0,0
